City,Date,Air Quality,Index Value,,,,,,,,,,,,,,,,,,,
Ajmer,01-09-2018,Moderate,128,,,,,,,,,,,,,,,,,,,
Asansol,01-09-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-09-2018,Satisfactory,82,,,,,,,,,,,,,,,,,,,
Chennai,01-09-2018,Moderate,107,,,,,,,,,,,,,,,,,,,
Delhi,01-09-2018,Very Poor,357,,,,,,,,,,,,,,,,,,,
Gurgaon,01-09-2018,Very Poor,355,,,,,,,,,,,,,,,,,,,
Hyderabad,01-09-2018,Moderate,171,,,,,,,,,,,,,,,,,,,
Jaipur,01-09-2018,Moderate,187,,,,,,,,,,,,,,,,,,,
Kanpur,01-09-2018,Very Poor,396,,,,,,,,,,,,,,,,,,,
Kolkata,01-09-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-09-2018,Very Poor,394,,,,,,,,,,,,,,,,,,,
Ludhiana,01-09-2018,Moderate,163,,,,,,,,,,,,,,,,,,,
Mumbai,01-09-2018,Moderate,196,,,,,,,,,,,,,,,,,,,
Nagpur,01-09-2018,Moderate,140,,,,,,,,,,,,,,,,,,,
Noida,01-09-2018,Very Poor,393,,,,,,,,,,,,,,,,,,,
Patna,01-09-2018,,,,,,,,,,,,,,,,,,,,,
Pune,01-09-2018,Satisfactory,78,,,,,,,,,,,,,,,,,,,
Siliguri,01-09-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-09-2018,Moderate,112,,,,,,,,,,,,,,,,,,,
Ujjain,01-09-2018,Moderate,173,,,,,,,,,,,,,,,,,,,
Varanasi,01-09-2018,Poor,299,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-09-2018,Moderate,113,,,,,,,,,,,,,,,,,,,
Agra,01-10-2018,Very Poor,353,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-10-2018,Moderate,130,,,,,,,,,,,,,,,,,,,
Ajmer,01-10-2018,Moderate,155,,,,,,,,,,,,,,,,,,,
Asansol,01-10-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-10-2018,Satisfactory,76,,,,,,,,,,,,,,,,,,,
Chennai,01-10-2018,Moderate,108,,,,,,,,,,,,,,,,,,,
Delhi,01-10-2018,Very Poor,350,,,,,,,,,,,,,,,,,,,
Gurgaon,01-10-2018,Very Poor,336,,,,,,,,,,,,,,,,,,,
Hyderabad,01-10-2018,Moderate,172,,,,,,,,,,,,,,,,,,,
Jaipur,01-10-2018,Poor,226,,,,,,,,,,,,,,,,,,,
Kanpur,01-10-2018,Severe,436,,,,,,,,,,,,,,,,,,,
Kolkata,01-10-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-10-2018,Very Poor,387,,,,,,,,,,,,,,,,,,,
Ludhiana,01-10-2018,Moderate,170,,,,,,,,,,,,,,,,,,,
Mumbai,01-10-2018,Moderate,196,,,,,,,,,,,,,,,,,,,
Nagpur,01-10-2018,Moderate,153,,,,,,,,,,,,,,,,,,,
Noida,01-10-2018,Poor,205,,,,,,,,,,,,,,,,,,,
Patna,01-10-2018,Very Poor,376,,,,,,,,,,,,,,,,,,,
Pune,01-10-2018,Moderate,104,,,,,,,,,,,,,,,,,,,
Siliguri,01-10-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-10-2018,Moderate,179,,,,,,,,,,,,,,,,,,,
Ujjain,01-10-2018,Moderate,186,,,,,,,,,,,,,,,,,,,
Varanasi,01-10-2018,Very Poor,315,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-10-2018,Poor,208,,,,,,,,,,,,,,,,,,,
Agra,01-11-2018,Poor,297,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-11-2018,Moderate,172,,,,,,,,,,,,,,,,,,,
Ajmer,01-11-2018,Moderate,140,,,,,,,,,,,,,,,,,,,
Asansol,01-11-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-11-2018,Satisfactory,66,,,,,,,,,,,,,,,,,,,
Chennai,01-11-2018,Moderate,178,,,,,,,,,,,,,,,,,,,
Delhi,01-11-2018,Very Poor,308,,,,,,,,,,,,,,,,,,,
Gurgaon,01-11-2018,Poor,298,,,,,,,,,,,,,,,,,,,
Hyderabad,01-11-2018,Moderate,173,,,,,,,,,,,,,,,,,,,
Jaipur,01-11-2018,Poor,201,,,,,,,,,,,,,,,,,,,
Kanpur,01-11-2018,Very Poor,392,,,,,,,,,,,,,,,,,,,
Kolkata,01-11-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-11-2018,Very Poor,390,,,,,,,,,,,,,,,,,,,
Ludhiana,01-11-2018,Moderate,184,,,,,,,,,,,,,,,,,,,
Mumbai,01-11-2018,Moderate,187,,,,,,,,,,,,,,,,,,,
Nagpur,01-11-2018,Moderate,150,,,,,,,,,,,,,,,,,,,
Noida,01-11-2018,Poor,253,,,,,,,,,,,,,,,,,,,
Patna,01-11-2018,Very Poor,346,,,,,,,,,,,,,,,,,,,
Pune,01-11-2018,Moderate,122,,,,,,,,,,,,,,,,,,,
Siliguri,01-11-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-11-2018,Moderate,105,,,,,,,,,,,,,,,,,,,
Ujjain,01-11-2018,Poor,221,,,,,,,,,,,,,,,,,,,
Varanasi,01-11-2018,Very Poor,347,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-11-2018,Poor,260,,,,,,,,,,,,,,,,,,,
Agra,01-12-2018,Poor,271,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-12-2018,Poor,236,,,,,,,,,,,,,,,,,,,
Ajmer,01-12-2018,Moderate,119,,,,,,,,,,,,,,,,,,,
Asansol,01-12-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-12-2018,Satisfactory,80,,,,,,,,,,,,,,,,,,,
Chennai,01-12-2018,Moderate,158,,,,,,,,,,,,,,,,,,,
Delhi,01-12-2018,Poor,297,,,,,,,,,,,,,,,,,,,
Gurgaon,01-12-2018,Poor,294,,,,,,,,,,,,,,,,,,,
Hyderabad,01-12-2018,Moderate,151,,,,,,,,,,,,,,,,,,,
Jaipur,01-12-2018,Moderate,184,,,,,,,,,,,,,,,,,,,
Kanpur,01-12-2018,Severe,437,,,,,,,,,,,,,,,,,,,
Kolkata,01-12-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-12-2018,Severe,411,,,,,,,,,,,,,,,,,,,
Ludhiana,01-12-2018,Moderate,159,,,,,,,,,,,,,,,,,,,
Mumbai,01-12-2018,Moderate,191,,,,,,,,,,,,,,,,,,,
Nagpur,01-12-2018,Moderate,136,,,,,,,,,,,,,,,,,,,
Noida,01-12-2018,Poor,265,,,,,,,,,,,,,,,,,,,
Patna,01-12-2018,Very Poor,372,,,,,,,,,,,,,,,,,,,
Pune,01-12-2018,Satisfactory,98,,,,,,,,,,,,,,,,,,,
Siliguri,01-12-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-12-2018,Satisfactory,86,,,,,,,,,,,,,,,,,,,
Ujjain,01-12-2018,Poor,236,,,,,,,,,,,,,,,,,,,
Varanasi,01-12-2018,Very Poor,326,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-12-2018,Poor,274,,,,,,,,,,,,,,,,,,,
Agra,01-13-2018,Very Poor,374,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-13-2018,Moderate,173,,,,,,,,,,,,,,,,,,,
Ajmer,01-13-2018,Moderate,156,,,,,,,,,,,,,,,,,,,
Asansol,01-13-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-13-2018,Satisfactory,80,,,,,,,,,,,,,,,,,,,
Chennai,01-13-2018,Poor,215,,,,,,,,,,,,,,,,,,,
Delhi,01-13-2018,Very Poor,357,,,,,,,,,,,,,,,,,,,
Gurgaon,01-13-2018,Very Poor,335,,,,,,,,,,,,,,,,,,,
Hyderabad,01-13-2018,Moderate,148,,,,,,,,,,,,,,,,,,,
Jaipur,01-13-2018,Poor,243,,,,,,,,,,,,,,,,,,,
Kanpur,01-13-2018,Severe,418,,,,,,,,,,,,,,,,,,,
Kolkata,01-13-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-13-2018,Very Poor,398,,,,,,,,,,,,,,,,,,,
Ludhiana,01-13-2018,Moderate,190,,,,,,,,,,,,,,,,,,,
Mumbai,01-13-2018,Moderate,186,,,,,,,,,,,,,,,,,,,
Nagpur,01-13-2018,Moderate,124,,,,,,,,,,,,,,,,,,,
Noida,01-13-2018,Very Poor,342,,,,,,,,,,,,,,,,,,,
Patna,01-13-2018,,,,,,,,,,,,,,,,,,,,,
Pune,01-13-2018,Satisfactory,95,,,,,,,,,,,,,,,,,,,
Siliguri,01-13-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-13-2018,Satisfactory,86,,,,,,,,,,,,,,,,,,,
Ujjain,01-13-2018,Moderate,155,,,,,,,,,,,,,,,,,,,
Varanasi,01-13-2018,Poor,286,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-13-2018,Poor,274,,,,,,,,,,,,,,,,,,,
Agra,01-14-2018,Very Poor,337,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-14-2018,,,,,,,,,,,,,,,,,,,,,
Ajmer,01-14-2018,Moderate,124,,,,,,,,,,,,,,,,,,,
Asansol,01-14-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-14-2018,Satisfactory,93,,,,,,,,,,,,,,,,,,,
Chennai,01-14-2018,Moderate,155,,,,,,,,,,,,,,,,,,,
Delhi,01-14-2018,Very Poor,318,,,,,,,,,,,,,,,,,,,
Gurgaon,01-14-2018,Poor,263,,,,,,,,,,,,,,,,,,,
Hyderabad,01-14-2018,Moderate,137,,,,,,,,,,,,,,,,,,,
Jaipur,01-14-2018,Moderate,169,,,,,,,,,,,,,,,,,,,
Kanpur,01-14-2018,Severe,410,,,,,,,,,,,,,,,,,,,
Kolkata,01-14-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-14-2018,Very Poor,396,,,,,,,,,,,,,,,,,,,
Ludhiana,01-14-2018,Poor,229,,,,,,,,,,,,,,,,,,,
Mumbai,01-14-2018,Moderate,193,,,,,,,,,,,,,,,,,,,
Nagpur,01-14-2018,Moderate,162,,,,,,,,,,,,,,,,,,,
Noida,01-14-2018,Poor,287,,,,,,,,,,,,,,,,,,,
Patna,01-14-2018,Very Poor,366,,,,,,,,,,,,,,,,,,,
Pune,01-14-2018,Satisfactory,94,,,,,,,,,,,,,,,,,,,
Siliguri,01-14-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-14-2018,Satisfactory,66,,,,,,,,,,,,,,,,,,,
Ujjain,01-14-2018,Poor,213,,,,,,,,,,,,,,,,,,,
Varanasi,01-14-2018,Severe,439,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-14-2018,Very Poor,304,,,,,,,,,,,,,,,,,,,
Agra,01-15-2018,Very Poor,369,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-15-2018,Poor,223,,,,,,,,,,,,,,,,,,,
Ajmer,01-15-2018,Satisfactory,88,,,,,,,,,,,,,,,,,,,
Asansol,01-15-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-15-2018,Satisfactory,93,,,,,,,,,,,,,,,,,,,
Chennai,01-15-2018,Moderate,135,,,,,,,,,,,,,,,,,,,
Delhi,01-15-2018,Very Poor,330,,,,,,,,,,,,,,,,,,,
Gurgaon,01-15-2018,Poor,241,,,,,,,,,,,,,,,,,,,
Hyderabad,01-15-2018,Moderate,144,,,,,,,,,,,,,,,,,,,
Jaipur,01-15-2018,Moderate,167,,,,,,,,,,,,,,,,,,,
Kanpur,01-15-2018,Very Poor,366,,,,,,,,,,,,,,,,,,,
Kolkata,01-15-2018,,,,,,,,,,,,,,,,,,,,,
Lucknow,01-15-2018,Very Poor,379,,,,,,,,,,,,,,,,,,,
Ludhiana,01-15-2018,Moderate,147,,,,,,,,,,,,,,,,,,,
Mumbai,01-15-2018,Poor,203,,,,,,,,,,,,,,,,,,,
Nagpur,01-15-2018,Moderate,160,,,,,,,,,,,,,,,,,,,
Noida,01-15-2018,Very Poor,315,,,,,,,,,,,,,,,,,,,
Patna,01-15-2018,,,,,,,,,,,,,,,,,,,,,
Pune,01-15-2018,Satisfactory,83,,,,,,,,,,,,,,,,,,,
Siliguri,01-15-2018,,,,,,,,,,,,,,,,,,,,,
Thiruvananthapuram,01-15-2018,Satisfactory,74,,,,,,,,,,,,,,,,,,,
Ujjain,01-15-2018,Moderate,167,,,,,,,,,,,,,,,,,,,
Varanasi,01-15-2018,Very Poor,391,,,,,,,,,,,,,,,,,,,
Visakhapatnam,01-15-2018,Poor,268,,,,,,,,,,,,,,,,,,,
Agra,01-16-2018,Poor,293,,,,,,,,,,,,,,,,,,,
Ahmedabad,01-16-2018,Poor,203,,,,,,,,,,,,,,,,,,,
Ajmer,01-16-2018,Satisfactory,95,,,,,,,,,,,,,,,,,,,
Asansol,01-16-2018,,,,,,,,,,,,,,,,,,,,,
Bengaluru,01-16-2018,Satisfactory,88,,,,,,,,,,,,,,,,,,,
Chennai,01-16-2018,Moderate,135,,,,,,,,,,,,,,,,,,,
